"text","label","pairs_diff"
"You said in one post you are a ex christian. If you new anything of Christianity you would know this is not possible. It is possible you had the title of Christian without the relationship which gives you this title. Christianity subscribes to the power of God to save you, not of any power of your own. If one could be come unsaved, he becomes more powerful than God (Impossible within Christianity).","1","NP,@S,0.17	VP,.,0.18	VBD,SBAR,0.82	PP,@S,1.75	IN,NP,0.69	CD,NN,0.01	NP,VP,1.32	VBP,NP,0.99	NP,NP,0.35	DT,FW,0.21	"
"that's a false analogy. people who are sexually attracted to children harm children, and harming someone is a crime. homosexuals do no harm to anyone, and are nothing like pedophiles. and for someone who doesn't tolerate government intrusion, you sure seem to like government intrusion when it comes to interfering with marriage. huh? are we talking about gays or fornicators? fornicators being someone who has sex before marriage and gay being a man who is attracted to a man in the same way a straight man is attracted to a woman. lets stay on topic.","1","NP,@S,4.70	VP,.,3.89	VBZ,NP,4.47	DT,@NP,4.12	JJ,NN,5.63	"
"Does a possible 25  of all new infections reported annually sound like a small minority in the gay community ?http   www.annoy.com editorials doc....umentID 100455","1","VP,NP,8.10	NP,PP,4.30	DT,@NP,0.21	JJ,CD,0.00	IN,NP,3.06	NP,VP,3.66	DT,@NP,1.28	JJ,NNS,5.54	VP,S,2.59	VBN,ADVP,0.11	VP,.,0.58	VB,PP,0.24	IN,NP,0.46	NP,PP,0.09	DT,@NP,0.20	JJ,NN,0.05	IN,NP,0.30	DT,@NP,0.76	JJ,NN,0.05	"
"Is there no end to Republican hypocrisy?Then   Now  Sen. McConnell On Filibuster Of SCOTUS Nominees   Media Matters Action NetworkAfter the next election, they can hold their Houses and Senate caucuses in their respective janitors' closets.","1","SQ,.,5.06	SQ,NP,1.33	SQ,NP,4.06	VBZ,NP,0.01	NP,PP,1.49	DT,NN,5.93	TO,NP,0.12	NP,ADVP,0.00	JJ,NN,0.00	NP,SBAR,4.60	NNP,NNP,0.00	S,S,1.75	S,CC,3.52	PP,@S,3.76	IN,NP,0.23	PP,@S,5.41	IN,NP,4.66	NP,NP,3.23	NNP,@NP,0.34	NNPS,@NP,0.90	NNP,NNS,0.05	NP,NP,1.07	NNP,NNP,0.46	DT,@NP,0.20	JJ,NN,0.11	,,@S,2.19	NP,VP,2.43	MD,VP,1.03	VB,NP,0.40	PRP$,NNS,0.75	NP,PP,0.18	NNP,NNS,0.00	IN,NP,0.26	NP,NNS,0.25	PRP$,@NP,0.45	JJ,@NP,0.04	NNS,POS,0.23	"
"Now this comment just shows how much of a bastard you truly are ... emoticonXMad","1","ADVP,@SINV,5.27	VP,SBAR,2.95	ADVP,VBZ,0.38	NP,RB,0.48	DT,NN,0.15	WHADJP,S,7.19	WHADJP,PP,2.94	WRB,JJ,0.01	IN,NP,1.81	DT,NN,0.80	NP,@S,2.23	ADVP,VP,4.89	VP,NP,0.45	VBP,:,0.01	"
"Of course this doesn't show numbers of couples who are 'separated' (and possibly sleeping around or with multiple people, but still legally married to one individual. So the article is of no use in drawing the aformentioned conclusion that homosexual couples are more monogamous than heterosexual ones, or vice versa. And the reported data is 8 years old.","1","IN,NP,5.43	NP,SBAR,6.68	WHNP,SINV,5.89	SINV,.,5.04	SINV,S,3.45	VP,NP,0.02	NP,SBAR,0.02	S,S,2.31	S,CC,3.27	S,-LRB-,4.13	NP,VP,1.31	NP,PP,0.01	IN,NP,0.08	NP,SBAR,0.03	VP,VP,0.29	VBP,``,0.01	VBN,'',0.23	S,@S,1.19	VP,PRN,0.07	ADVP,@VP,0.00	VBG,PP,0.07	PP,NP,0.14	PP,IN,0.02	IN,CC,0.00	JJ,NNS,0.01	,,@PRN,0.05	CC,ADVP,0.02	ADVP,VP,0.48	VBN,PP,0.12	TO,NP,0.15	CD,NN,0.03	"
"Just because Dolphins start using tools doesn't mean that one will give birth to a chipmunk!Get real, evolution is a fairytale!!  )","1","RB,@SBAR,1.55	IN,S,1.80	NP,VP,2.75	VBP,S,2.61	VBG,SBAR,2.87	NP,VP,3.02	VP,VP,9.90	VBZ,RB,0.02	VB,SBAR,12.10	IN,S,7.19	NP,VP,5.37	MD,VP,4.48	VP,PRN,2.05	VP,,,2.86	VP,PP,0.21	VB,NP,4.22	TO,NP,3.68	DT,@NP,2.78	NN,RB,5.62	S,-RRB-,1.77	NP,VP,2.85	VBZ,NP,2.30	DT,@NP,1.37	NN,NN,2.28	"
"Guns don't kill people. They just make people want to kill.","1","NP,@S,1.62	VP,.,1.00	VP,VP,0.87	VBP,RB,0.02	VB,NP,0.18	"
"then chrisitanity will be next in line, hopefully. kill'em all!!! emoticonxkill","1","ADVP,@S,3.28	NP,@S,4.07	VP,.,3.76	MD,VP,1.85	VP,ADVP,0.40	VP,,,0.18	VP,PP,0.00	VB,ADJP,0.00	IN,NP,0.01	"
"They compare programs like Eddie Eagle, to the dictator Kim Jong Il.","1","NP,@S,2.22	VP,.,1.89	VBP,NP,3.20	NP,PP,3.31	PP,NP,2.66	PP,PP,1.32	PP,,,0.65	IN,NP,0.27	NNP,NNP,0.10	TO,NP,0.17	DT,NN,0.22	NNP,@NP,0.03	NNP,NNP,0.00	"
"They're failing because the public school system is run by XXXXXX.","1","NP,@S,5.79	VP,.,5.20	VBP,VP,5.10	VBG,SBAR,3.17	IN,S,0.91	NP,VP,1.17	DT,@NP,0.09	JJ,@NP,0.04	NN,NN,0.13	VBZ,VP,0.44	VBN,PP,0.05	IN,NP,0.22	"
"To me it has nothing to do with equal or civil rights.........It is a special right that gays want....They already have the same rights I have when it comes to marriage......They can marry anyone of the opposite sex...","1","SBAR,@S,3.62	S,S,2.45	S,:,0.02	S,S,9.77	S,:,4.66	PP,@S,1.67	TO,NP,5.46	NP,VP,2.50	VBZ,NP,2.52	NN,S,6.13	TO,VP,0.12	VB,PP,0.22	IN,NP,0.04	JJ,@NP,0.10	CC,@NP,0.27	JJ,NNS,1.20	NP,VP,4.89	VBZ,NP,4.36	NP,SBAR,4.75	DT,@NP,2.15	JJ,NN,0.01	WHNP,S,0.03	VBZ,SBAR,0.01	NP,@S,1.50	ADVP,VP,2.13	VBP,NP,1.57	DT,@NP,1.54	JJ,NNS,1.28	NP,@S,0.28	VP,:,0.18	VBP,NP,0.49	SBAR,@NP,0.41	WHADVP,S,2.51	NP,VP,1.31	VBZ,PP,5.37	TO,NP,0.01	:,S,0.96	NP,VP,0.96	MD,VP,0.45	VB,NP,0.20	NP,PP,0.01	IN,NP,0.04	DT,@NP,0.36	JJ,NN,5.62	"
"Oh really? I had the impresion that the death penalty was the worst we had to offer. Can you inform we what is the ultimate penalty then?","1","VP,.,0.42	INTJ,NP,0.00	"
"Can she still cross state lines on her own?","1","S,@S,0.09	NP,@S,0.24	VP,.,1.03	ADVP,@VP,0.54	VP,PP,0.55	VBP,NP,0.13	NN,NNS,0.02	IN,NP,1.08	PRP$,JJ,0.01	"
"Ha, the first 10 AMENDMENTS are not amendments...even after being ratified, per the Bill of Rights, via Article V...the AMENDMENT process.","1","NP,.,6.77	NP,PP,9.11	NP,,,6.18	NP,PP,5.17	NP,,,4.26	NP,S,3.57	NP,NP,0.82	NP,,,0.22	DT,@NP,0.05	JJ,@NP,0.11	CD,NNS,4.93	S,S,1.63	S,:,2.06	VP,NP,2.05	VBP,RB,5.90	RB,@PP,0.26	IN,S,0.20	VBG,VP,0.23	IN,NP,0.21	NP,PP,0.10	DT,NNP,0.00	IN,NP,0.23	IN,NP,0.02	NNP,NNP,0.00	"
"Only after I put a thirty round burst of .223's at their feet ,  )","1","ADVP,SBAR,0.07	IN,S,1.14	NP,VP,0.50	VP,-RRB-,0.34	VP,PP,0.13	VBD,S,0.32	NP,PP,0.21	DT,@NP,0.12	CD,@NP,0.14	NN,NN,0.00	IN,NP,0.16	NN,POS,0.22	PP,,,0.04	IN,NP,0.02	PRP$,NNS,0.00	"
"Sir Issac Newton was an idiot and you are a genius? Hmm. Let me think about that for a second?","1","S,.,2.89	S,S,9.17	S,CC,2.26	NP,VP,0.54	NNP,@NP,0.14	NNP,NNP,0.03	VBD,NP,0.67	DT,NN,0.53	NP,VP,5.94	VBP,NP,5.83	DT,NN,5.70	"
"Since when is it necessary for ""you"" to believe something in order for it to be true?","1","PP,@S,0.18	IN,SBAR,1.94	WHADVP,S,4.31	VBZ,S,3.08	NP,@S,2.99	ADJP,S,0.52	JJ,PP,0.23	PP,'',0.26	PP,NP,0.04	IN,``,0.01	TO,VP,1.04	VP,PP,0.65	VB,NP,0.01	IN,NP,0.27	NP,PP,0.42	IN,NP,0.03	NP,@S,0.51	VP,.,1.36	VB,ADJP,5.81	"
"C'mon guys!Leave poor Archie alone. The guy is mentally incompetent. Why pick on him? let him alone with his beliefs which he needs as badly as a man with broken legs needs crutches to move along.Without his beliefs poor Archie can not face life and even less death.So, of course he gets enraged when someone tries to take his carapace from him. would you do that to a tortoise? Of course not.I stopped picking on him and now I have only pity for him. emoticonXAngel","1","VP,.,1.61	VB,S,3.76	NP,ADJP,4.02	NP,NP,4.50	JJ,NNP,5.38	"
".and that's because the medical establishment has made it illegal to treat any disease in this country with anything other than FDA approved drugs or surgery. It's all about the money, man.","1",""
"Its ironic how you gay people can turn things around and change the subject","1","NP,ADJP,0.65	JJ,SBAR,0.64	WHADVP,S,0.85	NP,VP,0.24	NP,NP,0.75	JJ,NNS,0.03	MD,VP,0.12	VP,VP,0.16	VP,CC,0.23	VP,ADVP,0.06	VB,NP,0.02	VB,NP,0.11	DT,NN,0.00	"
"Americans as a whole don't say soccer sucks  we just don't give a rat's XXX about it.","1","NP,@S,4.71	NP,SBAR,5.07	IN,S,0.44	NP,VP,1.92	DT,NN,0.01	VP,VP,0.25	VBP,RB,0.02	VB,NP,0.01	VP,.,2.51	VBZ,SBAR,0.31	NP,@S,2.56	ADVP,VP,1.85	VP,VP,0.87	VBP,RB,0.02	VB,NP,5.43	NP,PP,0.31	NP,NNP,3.12	DT,@NP,0.00	NN,POS,0.13	IN,NP,0.03	"
"Interesting. The Creationists are evading this thread.","1","ADJP,.,5.07	"
"Translation  Simone wants Saddam, the Butcher of Baghdad, back in power to murder, gas, rape, and pillage some more.","1","NP,@S,6.12	NN,NN,0.09	VP,.,5.99	VP,VP,6.99	VP,CC,5.63	VP,,,4.65	VP,PP,1.81	VBZ,NP,8.58	NP,ADVP,4.17	NP,,,1.95	NP,NP,0.19	NP,,,0.33	NP,PP,0.06	DT,NNP,0.22	IN,NP,0.23	RB,PP,4.79	IN,NP,0.08	TO,NP,2.32	NN,@NP,3.82	,,@NP,1.94	NN,@NP,0.92	,,NN,0.32	VP,ADVP,0.43	VB,NP,0.75	"
"I'm not disguising one thing. I am always clear that my argument is equal marriage for same sex couples. No one I know on my side argues simply for ""equality in marriage"", period full stop.","1","NP,@S,3.82	VP,.,2.90	VP,VP,1.55	VBP,RB,5.79	VBG,NP,0.07	CD,NN,0.02	"
"okay, well i think that you are just finding reasons to go against Him. I think that you had some bad experiances when you were younger or a while ago that made you turn on God. You are looking for reasons, not very good ones i might add, to convince people.....either way, God loves you.  )","1","S,.,4.17	S,S,0.10	S,,,0.61	ADVP,@S,6.65	NP,VP,1.85	VBP,SBAR,0.45	IN,S,0.52	NP,VP,1.44	VP,VP,0.36	VBP,ADVP,0.01	VP,S,0.54	VBG,NP,0.00	TO,VP,0.76	VB,PP,0.42	IN,NP,0.50	"
"The figures for the number of gun related deaths in the US should be evidence enough that 'the people' cannot be trusted with guns. This does not mean all the people, but a large enough proportion of the people to be a danger the rest of you.","1","NP,@S,2.76	NP,PP,0.74	DT,NNS,0.00	IN,NP,1.11	NP,PP,1.47	DT,NN,0.01	IN,NP,2.14	NP,PP,1.74	NN,@NP,1.50	JJ,NNS,2.51	IN,NP,0.13	DT,NNP,0.96	VP,.,3.77	MD,VP,2.40	VB,NP,2.90	NP,PP,1.91	NN,RB,0.03	PP,NP,3.14	IN,``,0.02	NP,SBAR,2.55	DT,@NP,0.01	NNS,POS,0.00	VP,VP,0.76	MD,RB,5.90	VB,VP,0.34	VBN,PP,0.03	IN,NP,0.04	"
"Thats why the Republicans have brainwashed you in to think that way. It is a coverup after coverup by both partys.","1","NP,@S,3.34	SBAR,.,2.24	WHADVP,S,0.14	NP,VP,0.48	DT,NNPS,0.22	VBP,VP,0.88	VP,S,1.32	VP,PP,1.38	VBN,NP,0.22	TO,VP,0.07	VB,NP,0.28	DT,NN,0.02	"
"No simone, that's your MO, post something other than loony lefty propaganda and maybe we can take you seriously for once.","1","S,.,5.10	S,S,11.76	S,CC,6.46	S,S,2.24	S,,,3.37	NP,VP,3.47	NP,NP,2.17	NP,,,1.40	DT,NN,6.08	VBZ,NP,0.03	PRP$,NNP,0.23	NP,ADJP,2.84	NN,NN,0.02	JJ,PP,2.40	IN,NP,3.75	JJ,@NP,2.50	NN,NN,5.05	ADVP,@S,4.79	NP,VP,4.36	MD,VP,4.11	VP,ADVP,0.71	VB,NP,0.00	RB,PP,0.12	IN,ADVP,0.02	"
"A human life is only a person once there is someone existing there. Before a fetus has a mental existence, it is just a growing human body   a thing, not a person. A thing cannot suffer, cannot feel pain, fear or even feel anything for that matter. How can you have empathy for a thing? Once a fetus develops a mental existence, then it is a person worthy of protection, as are all people.","1","NP,@S,6.31	DT,@NP,0.54	JJ,NN,5.87	VP,.,2.81	VP,SBAR,0.29	VBZ,NP,0.35	RB,@NP,0.20	DT,NN,0.02	RB,S,1.26	NP,VP,1.14	VBZ,NP,0.47	NP,ADVP,0.69	NN,VBG,0.22	"
"So of you pro choice people confuse the heck out of me. You go on and on about a women's choice when it comes to her body and how everyone else should stay the heck out of her business but then when people want to own weapons for personal defense usuage. People that haven't committed crimes and have been physiologically examined. You go  NO! That's WRONG! You can't have your choice! I'm being affected by it! (Even when its obvious NO you are not being effected by their choice to bear arms) And you lot call pro lifers hypocritical for being pro death penalty. Pfft.","1","RB,@S,4.60	PP,@S,4.13	IN,NP,0.29	NP,NP,0.01	NP,@S,2.09	NN,NNS,0.03	VP,.,0.89	VP,PP,0.50	VBP,ADVP,0.26	NP,IN,6.61	DT,NN,0.38	IN,NP,5.44	"
"and what does that have to do with the price of rice in china? are you suggesting that in the event of a natural disaster you have the right to choose? if a tornado tore you from your bed and cast you into oblivion, that was your choice? maybe so. emoticonxrolleyes no doubt many lives were lost in no due to lack of means as well as ignorance but how that relates to convenience abortion on demand and the social acceptance of them escapes me. emoticonxwow","1","CC,@SBARQ,0.72	WHNP,@SBARQ,1.06	SQ,.,0.13	SQ,VP,0.93	VBZ,NP,0.01	VBP,S,0.54	TO,VP,0.89	VP,PP,0.98	VB,PP,2.30	IN,NP,1.57	NP,PP,4.15	DT,NN,0.06	IN,NP,0.33	IN,NP,0.02	"
"He was arrested and spent several hours in a cell when plainly he had not broken any laws.","1","NP,@S,6.54	VP,.,6.16	VBD,VP,4.76	VP,PP,3.17	VP,NP,0.72	VP,VBN,1.12	VBN,CC,0.41	JJ,NNS,0.01	IN,NP,0.04	NP,SBAR,0.97	DT,NN,0.02	WHADVP,S,1.63	ADVP,@S,1.20	NP,VP,1.53	VP,VP,0.24	VBD,RB,5.88	VBN,NP,0.09	DT,NNS,0.09	"
"Another dimwitted white guy who lu u u u u u ves his guns.","1","NP,@S,3.67	NP,NP,0.74	NP,SBAR,0.05	DT,@NP,0.08	JJ,@NP,0.11	JJ,NN,0.07	WHNP,S,0.23	FW,@NP,1.10	FW,@NP,0.58	FW,@NP,0.19	FW,FW,0.00	VP,.,0.29	VBZ,NP,0.21	PRP$,NNS,0.03	"
"Actually, I was one of those anti american pinko commie bleeding heart liberals that had 20 20 foresight. I was one of those folks that knew the war in Iraq was based of falsehood.","1","ADVP,@S,5.33	,,@S,4.92	NP,@S,4.24	VP,.,4.12	VBD,NP,2.69	NP,PP,1.74	IN,NP,1.37	NP,VP,1.54	DT,@NP,1.29	JJ,@NP,0.80	NN,@NP,0.15	NN,NN,0.00	VBG,NP,1.42	NP,SBAR,1.14	NN,NNS,0.19	WHNP,S,0.60	VBD,NP,1.02	QP,NN,0.62	CD,CD,0.00	"
"mm i am usually with you on every issue but we part company on this one......there have just been to many credible people who have had sightings.......maybe they are light years ahead of us in the technology of space travel...............can you imagine what they could teach us if they made contact? some people are concerned that they could harm or destroy us..........like i said before if they wanted to do that they could have already done it............","1","S,.,2.80	S,S,6.69	S,:,3.49	S,S,0.87	S,:,1.71	S,S,2.30	S,CC,1.73	NP,VP,1.05	NP,NP,0.73	VP,PP,0.22	VP,PP,2.08	VBP,ADVP,0.18	IN,NP,0.00	IN,NP,0.00	DT,NN,0.01	NP,NP,0.94	NP,PP,0.18	NN,NN,0.01	IN,NP,0.05	DT,CD,0.01	NP,VP,0.14	VP,VP,0.35	VBP,ADVP,0.00	VBN,PP,1.10	TO,NP,2.09	NP,SBAR,2.88	JJ,@NP,3.36	JJ,NNS,5.51	WHNP,S,0.06	VBP,VP,0.04	VBN,NP,0.24	ADVP,@S,3.79	NP,VP,3.55	VBP,NP,4.22	NP,PP,1.68	NP,PP,0.73	JJ,NNS,0.01	RB,@PP,0.51	IN,NP,5.89	IN,NP,1.21	NP,PP,0.44	DT,NN,0.04	IN,NP,0.92	NP,SQ,0.28	NP,:,0.02	NN,NN,0.02	SQ,VP,2.12	MD,NP,0.01	VB,SBAR,1.05	WHNP,S,0.93	NP,VP,1.06	MD,VP,0.39	VP,SBAR,1.04	VB,NP,5.88	IN,S,0.15	NP,VP,0.17	VBD,NP,0.04	"
"Saving lives is a Republican goal?Then, why have the Republicans condemned us to this ugly, nonproductive war in Iraq?The terrorists continue to terrorize us because we have deterred our efforts against them to Iraq, (and Bush intends to widen this nonproductive war into Iran and Syria) where nearly 700,000 Iraqis have been needlessly slaughtered, where more than 3,000 of our young have been sacrified in vain, and you have the audacity to say that ""saving lives is a Republican goal.""Meanwhile we burn Saudi Arabian oil and by so doing, fuel the funding of countless schools of hate against the United States throughout the world.Osama bin Laden, the prime terrorist in the world, issued out of Saudi Arabia. He was funded by Saudi Arabia. Most of the terrorists on those planes that attacked my nation on September 11, 2001, were from Saudi Arabia.Iraq had nothing to do with that attack. Iran had nothing to do with that attack. Syria had nothing to do with that attack.Ever had an attack of reality, Gman?","1","S,.,9.06	S,S,8.51	S,CC,8.74	S,,,8.33	NP,VP,10.46	VBG,NNS,0.00	VP,SBAR,1.70	VBZ,NP,7.84	NP,PRN,4.88	NP,,,6.34	NP,SBAR,5.93	NP,,,0.18	DT,@NP,0.02	JJ,NN,0.00	WHADVP,S,4.92	S,VP,5.86	VBP,S,5.48	NP,VP,6.20	DT,NNPS,0.22	VP,PP,5.92	VP,PP,6.56	VBD,NP,5.66	TO,NP,5.70	DT,@NP,5.39	ADJP,NN,0.99	JJ,@ADJP,5.79	,,JJ,0.22	IN,NP,0.01	NNP,NNS,0.26	VBP,S,1.40	TO,VP,1.56	VP,SBAR,2.28	VB,NP,5.66	IN,S,1.25	NP,VP,1.59	VBP,VP,1.45	VP,PP,0.44	VP,PP,0.69	VBN,NP,0.19	PRP$,NNS,0.01	IN,NP,0.01	TO,NP,0.22	-LRB-,@PRN,2.54	CC,@PRN,1.73	S,-RRB-,3.09	NP,VP,1.62	VBZ,S,0.71	TO,VP,1.28	VP,PP,1.12	VB,NP,0.48	DT,@NP,0.78	JJ,NN,5.84	IN,NP,0.22	NP,NNP,0.06	NNP,CC,0.01	WHADVP,S,6.53	NP,VP,5.77	QP,NNPS,0.51	RB,CD,0.23	VBP,VP,7.09	VBN,VP,6.85	ADVP,@VP,0.25	VP,SBAR,5.70	VBN,,,0.22	WHADVP,S,3.96	NP,VP,2.48	NP,PP,0.17	JJR,@QP,0.00	IN,CD,0.23	IN,NP,0.17	PRP$,JJ,0.01	VBP,VP,2.41	VBN,VP,0.65	VBN,PP,0.41	IN,NP,0.13	NP,VP,1.17	VBP,NP,1.08	DT,@NP,1.35	NN,S,3.02	TO,VP,0.20	VB,SBAR,0.63	SBAR,S,1.47	IN,``,0.01	NP,VP,0.47	VBG,NNS,4.80	VBZ,NP,0.82	DT,@NP,0.44	JJ,NN,4.59	"
"Is this the sort of thing that is being taught at that bastion of liberal science, MIT? How can this be presented as fact rather than theory?New and improved nuclear fuel createdNuclear fission, neutrons and protons, and even the atom itself are just theories. No one has ever seen an atom or a neutron. No one has ever observed an atom split. Why are our liberal news media allowed to present this as fact?Moreover, aren't nuclear reactors designed by intelligent humans? I also notice that this research was funded by our hard earned tax dollars without requiring that the benevolence of God also be researched in equal time. This is yet another shameful example of the godless attitude of science.","1","SQ,.,1.00	SQ,NP,2.26	VBZ,NP,0.02	NP,PP,2.14	DT,NN,0.01	IN,NP,1.76	NP,SBAR,0.78	WHNP,S,0.94	VBZ,VP,0.53	VBG,VP,0.31	VBN,PP,0.49	IN,NP,0.79	NP,PP,0.38	DT,NN,0.21	IN,NP,0.10	NP,NP,0.07	NP,,,0.00	JJ,NN,0.05	"
"It is much more important that you concern yourself with the destiny of your soul, not how many years you can stay on the earth.","1","NP,@S,5.37	VP,.,4.35	VP,PP,2.95	VP,NP,4.99	VBZ,ADVP,3.94	ADVP,SBAR,1.35	RB,@ADVP,1.78	RBR,JJ,0.10	IN,S,1.71	NP,NP,0.00	IN,NP,0.15	NP,PP,2.76	DT,NN,0.05	IN,NP,2.69	NP,SBAR,1.17	NP,,,0.81	PRP$,NN,0.09	WHNP,S,2.53	WHADJP,NNS,1.47	RB,@WHADJP,5.93	WRB,JJ,0.01	NP,VP,0.80	MD,VP,1.14	VB,PP,0.04	IN,NP,0.01	DT,NN,0.04	"
"Why do people keep posting anti Bush anti US  nuclear weapons threads in the Gun Control forum?Here's a hint  The ""Gun Control"" forum is for debating Gun Control.","1","WHADVP,@SBARQ,5.46	SQ,.,4.86	SQ,S,2.91	SQ,VP,0.77	VBP,NP,0.01	VB,S,1.65	VBG,S,1.44	NP,ADJP,0.72	JJ,NNP,0.39	NP,VP,0.15	NP,PP,1.48	NNP,@NP,1.12	JJ,@NP,0.26	NNS,NNS,0.04	IN,NP,1.64	NP,NP,3.50	DT,@NP,0.00	NNP,@NP,0.06	NNP,@NP,0.07	NNP,POS,0.22	NP,NP,1.53	DT,NN,4.70	DT,@NP,3.21	``,@NP,1.39	NP,@NP,0.84	NNP,NNP,0.00	'',NN,0.19	VBZ,PP,0.90	IN,S,0.91	VBG,NP,0.16	NNP,NNP,0.00	"
"I am sorry the only perfect man that ever lived was Jesus Christ and maybe you in your own mind","1","NP,VP,5.75	VBP,ADJP,4.90	JJ,SBAR,3.81	NP,VP,2.13	NP,SBAR,0.59	DT,@NP,0.08	JJ,@NP,5.87	JJ,NN,10.28	WHNP,S,0.31	ADVP,VP,0.00	VBD,NP,0.04	NP,NP,1.79	NP,RB,0.17	NP,CC,0.10	NNP,NNP,0.24	NP,PP,0.78	IN,NP,0.32	PRP$,@NP,0.54	JJ,NN,0.03	"
"If you were trying to use that to counter my point, it failed. Anecdotal evidence doesn't affect statistical probability   that there was a single event says nothing about which is generally better.","1","SBAR,@S,2.74	IN,S,3.17	NP,VP,4.07	VBD,VP,4.20	VBG,S,2.00	TO,VP,1.51	VB,SBAR,0.86	IN,S,0.56	TO,VP,0.29	VB,NP,0.06	PRP$,NN,0.01	,,@S,4.53	NP,@S,3.63	VP,.,3.82	"
"Once one is adept at finding evidence after a conclusion is presumed, all sorts of ""proofs"" reveal themselves. What's next, Nostradamus?","1","SBAR,@S,0.27	RB,S,1.11	NP,VP,0.73	VBZ,ADJP,0.62	JJ,PP,0.34	IN,S,0.57	VP,SBAR,1.15	VBG,NP,0.02	IN,S,2.93	NP,VP,0.14	DT,NN,0.00	VBZ,VP,0.22	,,@S,0.76	NP,@S,1.91	NP,PP,0.10	DT,NNS,0.68	PP,'',0.02	PP,NP,0.21	IN,``,0.00	VP,.,0.72	VBP,NP,0.01	"
"BUT along come a man made invention that allows those certain portions to live on which otherwise would have died. In once case   nylon, the other, the artificial heart. You call this evolution.","1","NP,@S,3.50	ADVP,@S,4.10	VP,.,3.83	VBN,NP,4.03	NP,VP,2.49	DT,NN,0.01	VBN,NP,2.94	NP,SBAR,1.16	WHNP,S,1.97	VBZ,S,0.86	NP,VP,0.51	DT,@NP,0.09	JJ,NNS,5.87	TO,VP,0.74	VB,PP,0.94	IN,SBAR,2.16	WHNP,S,1.89	ADVP,VP,2.45	MD,VP,1.73	VB,VP,2.76	"
"roflmao.. So now you're a Catholic And want to exorcise me. You can't cast out what is not there doofus.. you should know better.","1","NN,.,0.22	"
"Not too wordy as much as too BS'y.Ok, how about...currently legal physician inflicted murder of unborn humans?","1","FRAG,@S,3.08	RB,ADJP,5.66	RB,@ADJP,3.79	JJ,PP,2.72	IN,FRAG,4.87	WHNP,FRAG,4.09	WHNP,PP,4.08	IN,NP,3.25	NP,,,2.66	NP,NP,3.13	NP,``,3.95	RB,JJ,0.25	WHNP,ADVP,0.01	:,@S,2.28	S,.,1.03	ADVP,@S,3.37	NP,VP,0.16	JJ,NN,0.56	VBD,NP,1.97	NP,PP,5.24	IN,NP,0.43	JJ,NNS,0.29	"
"Uranus. Is. A. Ball. Of. Gas. Genius.","1","NP,.,0.22	"
"That doesn't even make sense. How do you help an abused young girl stay safe by making sure the abuser doesn't get reported?","1","NP,@S,5.25	VP,.,4.94	VP,VP,3.66	VP,ADVP,5.72	VBZ,RB,0.02	VB,NP,0.00	"
"First off, just because some Iraq's are crazy and use their children as weapons, does not mean all Iraqi's are such. Second, I think people use the younger people for wars for a couple of reasons. One reason is they are easier to convince to do something like go to war than a guy that is 40 or older. Every country uses their young people for war. They are also more physically fit. .","1","ADVP,@S,5.57	NP,RB,11.06	,,@S,5.30	SBAR,@S,2.97	RB,@SBAR,0.81	IN,S,0.80	NP,VP,0.64	DT,@NP,0.17	NNP,POS,0.22	VP,VP,0.36	VP,CC,0.12	VBP,ADJP,0.03	VP,PP,0.59	VB,NP,2.51	PRP$,NNS,5.74	IN,NP,0.22	,,@S,4.65	VP,.,3.68	VP,VP,0.28	VBZ,RB,5.89	VB,NP,4.65	NP,SBAR,0.95	NP,VP,0.37	JJ,POS,0.08	VBP,ADJP,0.01	"
"Job 41 18 21 18By his exhaling a light does shine, and his eyes are like the eyelids of the morning.19Out of his mouth go burning lamps, and sparks of fire leap out.20Out of his nostrils goes smoke, as out of a seething pot or caldron.21His breath kindles coals, and a flame goes out of his mouth.","1","S,.,8.25	S,S,7.07	S,CC,6.95	S,,,6.31	NP,@S,3.48	NP,PP,0.10	NP,NP,0.57	QP,CD,0.45	CD,CD,0.26	NP,SBAR,2.55	S,S,8.52	S,CC,4.71	S,,,4.11	NP,VP,4.86	VBG,SBAR,5.39	NP,VP,3.24	DT,NN,0.00	VBZ,VP,6.31	NP,VP,2.96	PRP$,NNS,0.01	VP,VP,4.57	VP,CC,2.49	VP,,,1.97	VBP,PP,2.08	IN,NP,1.71	NP,PP,0.21	DT,NNS,0.12	IN,NP,0.26	NP,SBAR,0.14	DT,NN,0.03	WHNP,S,2.37	NP,PP,2.74	IN,PP,0.02	IN,NP,0.01	PRP$,NN,0.00	VB,NP,0.34	VBG,NNS,0.59	VP,PP,1.89	VBZ,PP,0.18	IN,NP,0.01	NN,NN,0.11	IN,NP,5.91	PP,VP,7.24	IN,PP,0.18	IN,NP,0.11	PRP$,NNS,0.23	VP,SBAR,0.78	VP,,,1.13	VBZ,NP,0.79	IN,S,1.27	PP,@S,2.73	IN,PP,4.96	IN,NP,0.81	NP,NP,0.01	NP,CC,1.12	DT,@NP,0.48	JJ,NN,1.47	NN,CD,0.00	NP,VP,2.12	PRP$,NN,0.41	VBZ,NP,0.00	NP,VP,1.22	DT,NN,0.02	VP,PP,0.38	VBZ,PRT,5.69	IN,NP,0.01	PRP$,NN,0.00	"
